name,career_FG_,birthPlace,position,college,career_FG3_,career_PTS,career_WS,career_PER,career_FT_,career_AST,career_TRB,highSchool,team,season,salary,Player,Date,Age,Weight,Height,Pre_draft_Team,Draft_Year,Conference
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1984-85,515000,Adrian Dantley,23-Mar-86,30,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1984-85,515000,Adrian Dantley,18-Mar-84,28,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1984-85,515000,Adrian Dantley,18-Dec-83,28,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1984-85,515000,Adrian Dantley,19-Oct-80,25,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1984-85,515000,Adrian Dantley,2-Dec-79,24,208,6'5,Notre Dame,1976,
John Drew,47,"Vredenburgh, Alabama",Power Forward and Small Forward,Gardner-Webb University,17.5,20.7,68.9,20.7,74.8,1.7,6.9,"J.F. Shields in Beatrice, Alabama",Utah Jazz,1984-85,250000,John Drew,6-Mar-83,28,205,6'6,Gardner-Webb,1974,
Rickey Green,46.9,"Chicago, Illinois",Point Guard,University of Michigan,20.7,9.4,47.2,15.3,80.7,5.5,1.9,"Hirsch Metro in Chicago, Illinois",Utah Jazz,1984-85,255000,Rickey Green,4-Dec-83,29,170,6'0,Michigan,1977,
Darrell Griffith,46.3,"Louisville, Kentucky",Shooting Guard,University of Louisville,33.2,16.2,22,14.6,70.7,2.1,3.3,"Male in Louisville, Kentucky",Utah Jazz,1984-85,363000,Darrell Griffith,10-Mar-85,26,190,6'4,Louisville,1980,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1985-86,950000,Adrian Dantley,23-Mar-86,30,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1985-86,950000,Adrian Dantley,18-Mar-84,28,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1985-86,950000,Adrian Dantley,18-Dec-83,28,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1985-86,950000,Adrian Dantley,19-Oct-80,25,208,6'5,Notre Dame,1976,
Adrian Dantley,54,"Washington, District of Columbia",Small Forward,University of Notre Dame,17.1,24.3,134.2,21.5,81.8,3,5.7,"DeMatha Catholic in Hyattsville, Maryland",Utah Jazz,1985-86,950000,Adrian Dantley,2-Dec-79,24,208,6'5,Notre Dame,1976,
Rickey Green,46.9,"Chicago, Illinois",Point Guard,University of Michigan,20.7,9.4,47.2,15.3,80.7,5.5,1.9,"Hirsch Metro in Chicago, Illinois",Utah Jazz,1985-86,250000,Rickey Green,4-Dec-83,29,170,6'0,Michigan,1977,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,17-Feb-02,38,265,6'9,Louisiana Tech,1985,West
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,6-Nov-00,37,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,6-Mar-00,36,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,11-Apr-99,35,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,8-Mar-98,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,15-Feb-98,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,30-Nov-97,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,23-Mar-97,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,16-Mar-97,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,24-Nov-96,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,31-Dec-95,32,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,23-Apr-95,31,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,18-Dec-94,31,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,19-Dec-93,30,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,31-Jan-93,29,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,19-Apr-92,28,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,8-Mar-92,28,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,28-Jan-90,26,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,30-Dec-89,26,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,16-Apr-89,25,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,24-Apr-88,24,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,3-Jan-88,24,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1985-86,225000,Karl Malone,15-Mar-87,23,265,6'9,Louisiana Tech,1985,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,6-Nov-00,38,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,29-Jan-95,32,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,16-Feb-92,29,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,9-Dec-90,28,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,19-Nov-89,27,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1985-86,150000,John Stockton,21-Feb-88,25,170,6'1,Gonzaga,1984,
Rickey Green,46.9,"Chicago, Illinois",Point Guard,University of Michigan,20.7,9.4,47.2,15.3,80.7,5.5,1.9,"Hirsch Metro in Chicago, Illinois",Utah Jazz,1987-88,312000,Rickey Green,4-Dec-83,29,170,6'0,Michigan,1977,
Darrell Griffith,46.3,"Louisville, Kentucky",Shooting Guard,University of Louisville,33.2,16.2,22,14.6,70.7,2.1,3.3,"Male in Louisville, Kentucky",Utah Jazz,1987-88,685000,Darrell Griffith,10-Mar-85,26,190,6'4,Louisville,1980,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,17-Feb-02,38,265,6'9,Louisiana Tech,1985,West
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,6-Nov-00,37,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,6-Mar-00,36,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,11-Apr-99,35,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,8-Mar-98,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,15-Feb-98,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,30-Nov-97,34,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,23-Mar-97,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,16-Mar-97,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,24-Nov-96,33,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,31-Dec-95,32,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,23-Apr-95,31,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,18-Dec-94,31,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,19-Dec-93,30,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,31-Jan-93,29,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,19-Apr-92,28,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,8-Mar-92,28,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,28-Jan-90,26,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,30-Dec-89,26,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,16-Apr-89,25,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,24-Apr-88,24,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,3-Jan-88,24,265,6'9,Louisiana Tech,1985,
Karl Malone,51.6,"Summerfield, Louisiana",Power Forward,Louisiana Tech University,27.4,25,234.6,23.9,74.2,3.6,10.1,"Summerfield in Summerfield, Louisiana",Utah Jazz,1987-88,835000,Karl Malone,15-Mar-87,23,265,6'9,Louisiana Tech,1985,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,6-Nov-00,38,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,29-Jan-95,32,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,16-Feb-92,29,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,9-Dec-90,28,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,19-Nov-89,27,170,6'1,Gonzaga,1984,
John Stockton,51.5,"Spokane, Washington",Point Guard,Gonzaga University,38.4,13.1,207.7,21.8,82.6,10.5,2.7,"Gonzaga Preparatory School in Spokane, Washington",Utah Jazz,1987-88,278000,John Stockton,21-Feb-88,25,170,6'1,Gonzaga,1984,
Kelly Tripucka,47.3,"Glen Ridge, New Jersey",Small Forward,University of Notre Dame,36.1,17.2,44.4,16.2,84.9,3,3.8,"Bloomfield in Bloomfield, New Jersey",Utah Jazz,1987-88,971000,Kelly Tripucka,15-Jan-84,25,220,6'6,Notre Dame,1981,
Kelly Tripucka,47.3,"Glen Ridge, New Jersey",Small Forward,University of Notre Dame,36.1,17.2,44.4,16.2,84.9,3,3.8,"Bloomfield in Bloomfield, New Jersey",Utah Jazz,1987-88,971000,Kelly Tripucka,14-Nov-82,24,220,6'6,Notre Dame,1981,
Kelly Tripucka,47.3,"Glen Ridge, New Jersey",Small Forward,University of Notre Dame,36.1,17.2,44.4,16.2,84.9,3,3.8,"Bloomfield in Bloomfield, New Jersey",Utah Jazz,1987-88,971000,Kelly Tripucka,14-Mar-82,23,220,6'6,Notre Dame,1981,
